marc 21-02-2020

leabhar,dp,teideal,údar
Lr1918_07,01/08/2013,Lr1918_07,éags
Lr1918_09,01/08/2013,Lr1918_09,éags
Crann1919_12,14/08/2013, Crann1919_12,éags
Guth1914_03,13/08/2013, Guth1914_03,éags 
Lr1918_02,21/06/2013,Lr1918_02,éags
Lr1918_08,05/09/2013,Lr1918_08,éags
Lr1918_10,04/09/2013,Lr1918_10,éags
Lr1918_11,06/09/2013,Lr1918_11,éags
Lr1919_01,24/09/2013,Lr1919_01,éags
Lr1919_07,20/09/2013,Lr1919_07,éags
Lr1919_09,24/09/2013,Lr1919_09,éags
An Gaodh.21_11_7,21/05/2013,éags
Lr1919_12,08/10/2013,Lr1919_12,éags  
Lr1920_04,01/10/2013,Lr1920_04,éags  
Lr1920_06,08/10/2013,Lr1920_06,éags  
Lr1920_08,07/10/2013,Lr1920_08,éags  
Lr1920_10,11/10/2013,Lr1920_10,éags  
Lr1926_04_05,26/09/2013,Lr1926_04_05,éags
Gaodh.1900_02,06/01/2014,Gaodh.1900_02,éags
Gaodh.1900_04,20/11/2013,Gaodh.1900_04,éags
Gaodh.1900_05,19/11/2013,Gaodh.1900_05,éags  
Gaodh.1900_06,28/01/2014,Gaodh.1900_06,éags  
LR1918_12 ,08/10/2013,LR1918_12,éags 
Lr1920_12 ,29/10/2013,Lr1920_12,éags 
Lr1925_11 ,11/11/2013,Lr1925_11,éags
Lr1926_01 ,16/10/2013,Lr1926_01,éags
Lr1926_03 ,04/11/2013,Lr1926_03,éags 
Siolad.1920_06 ,13/11/2013,Siolad.1920_06,éags
Siolad.1921_03 ,06/01/2014,Siolad.1921_03,éags
Siolad.1921_06,28/01/2014,Siolad.1921_06,éags
Siolad1920_09 ,28/01/2014,Siolad1920_09,éags
Siolad1920_12 ,10/12/2013,Siolad1920_12,éags
Siolad. 1921_12,30/01/2014,Siolad. 1921_12,éags
Siolad.1921_09,26/02/2014,Siolad.1921_09,éags
Siolad.1921_09,26/02/2014,Siolad.1921_09,éags
Siolad.1922_02,24/02/2014,Siolad.1922_02,éags
Óglach1923_03_24,04/11/2013,Óglach1923_03_24,éags
Óglach1923_07_14,04/11/2013,Óglach1923_07_14,éags
Óglach1926_04_10,04/11/2013,Óglach1926_04_10,éags
Óglach1926_04_17,04/11/2013,Óglach1926_04_17,éags
Ir. Fun.1923_12,07/02/2014,Ir. Fun.1923_12,éags
Ir.Fun.1915_10 ,07/02/2014,Ir.Fun.1915_10 ,éags
UJA1895_10,07/02/2014,UJA1895_10,éágs
UJA1897_10,01/11/2013,UJA1897_10,éágs
UJA1905_07,11/11/2013,UJA1905_07,éágs
UJA1905_10,12/11/2013,UJA1905_10,éágs
Gaodh.1900_03,06/02/2014, Gaodh.1900_03,éags
Hem.1907_10,10/02/2014, Hem.1907_10,éags  
Gaodh.1900_08_09,04/03/2014,Gaodh.1900_08_09,éags
Gaodh.1903_05,   19/02/2014,Gaodh.1903_05,éags
Gaodh.1922_01_02,26/02/2014,Gaodh.1922_01_02,éags
Gaodh.1922_02_20,03/03/2014,Gaodh.1922_02_20,éags
Gaodh.1922_03_13,28/02/2014,Gaodh.1922_03_13,éags
Gaodh.1922_04_17,04/03/2014,Gaodh.1922_04_17,éags
Gaodh.1922_06_12,28/02/2014,Gaodh.1922_06_12,éags
Ir.Ros.1904_01,25/03/2014,Ir.Ros.1904_01,éags
Ir.Ros.1904_02,25/03/2014,Ir.Ros.1904_02,éags
Ir.Ros.1904_03,14/04/2014,Ir.Ros.1904_03,éags
Ir.Ros.1904_04,14/04/2014,Ir.Ros.1904_04,éags
Ir.Ros.1904_05,14/04/2014,Ir.Ros.1904_05,éags
Ir.Ros.1904_06,14/04/2014,Ir.Ros.1904_06,éags
Ir.Ros.1904_07,14/04/2014,Ir.Ros.1904_07,éags
Ir.Ros.1904_08,14/04/2014,Ir.Ros.1904_08,éags
Ir.Ros.1904_09,14/04/2014,Ir.Ros.1904_09,éags
Ir.Ros.1904_12,14/04/2014,Ir.Ros.1904_12,éags
Ir.Ros.1908_01,16/04/2014,Ir.Ros.1908_01,éags
Ir.Ros.1908_04,16/04/2014,Ir.Ros.1908_04,éags
Ir.Ros.1908_05,14/04/2014,Ir.Ros.1908_05,éags
Ir.Ros.1908_06,16/04/2014,Ir.Ros.1908_06,éags
Fr.Mt.R._1911,11/02/2014,Fr.Mt.R._1911,éags
Fr.Mt.R._1912,17/02/2014,Fr.Mt.R._1912,éags
Fr.Mt.R._1913,23/04/2014,Fr.Mt.R._1913,éags
Fr.Mt.R._1914,19/03/2014,Fr.Mt.R._1914,éags
Fr.Mt.R._1915,20/03/2014,Fr.Mt.R._1915,éags
Fr.Mt.R._1916,23/04/2014,Fr.Mt.R._1916,éags
Fr.Mt.R._1917,23/04/2014,Fr.Mt.R._1917,éags
Ir.Ros.1904_10,25/04/2014,Ir.Ros.1904_10,An tAthair Peadar Ó Laoghaire 
Ir.Ros.1904_11,25/04/2014,Ir.Ros.1904_11,An tAthair Peadar Ó Laoghaire 
Ir.Ros.1908_02,25/04/2014,Ir.Ros.1908_02,An tAthair Peadar Ó Laoghaire 
Ir.Ros.1908_03,25/04/2014,Ir.Ros.1908_03,An tAthair Peadar Ó Laoghaire 
Ir.Ros.1908_07,25/04/2014,Ir.Ros.1908_07,An tAthair Peadar Ó Laoghaire 
Ir.H.J._1920,20/03/2014,Ir.H.J._1920,       
IMN1914,14/10/2014,IMN1914,éags       
IMN1915,14/10/2014,IMN1915,éags       
IMN1916,14/10/2014,IMN1916,éags       
Stoc1919_08,13/11/2014,Stoc1919_08,éags      
Stoc1919_12,04/11/2014,Stoc1919_12,éags      
Stoc1920_03,04/11/2014,Stoc1920_03,éags
Stoc1923_08,20/11/2014,Stoc1923_08,éags
Stoc1923_06, 27/11/2014,Stoc1923_06,éags 
Stoc1923_07, 04/12/2014,Stoc1923_07,éags 
Stoc1924_02_03,05/12/2014,Stoc1924_02_03,éags
Stoc1924_04,20/05/2015,04/03/2015, Stoc1924_04,                       
Stoc1924_05,04/03/2015,13/02/2015, Stoc1924_05,     
Stoc1924_08_09,08/05/2015,Stoc1924_08_
Stoc1924_10,02/03/2015,Stoc1924_10,éags
Stoc1924_11,12/02/2015,Stoc1924_11,éags
Stoc1924_12,04/03/2015,Stoc1924_12,éags
Stoc1925_02,02/04/2015,Stoc1925_02,éags
Stoc1925_03,09/03/2015,Stoc1925_03,éags
Stoc1925_04,02/04/2015,Stoc1925_04,éags
Stoc1925_05_06_07.,27/04/2015,Stoc1925_05_o6_07,éags
Stoc1925_10_11,20/05/2015,Stoc1925_10_11,éags
Stoc1925_12,27/04/2015,Stoc1925_12,éags
Stoc1926_02,08/06/2015,Stoc1926_02,éags
Stoc1926_03,18/06/2015,Stoc1926_03,éags
Stoc1926_04,18/06/2015,Stoc1926_04,éags
Stoc1926_05,27/04/2015,Stoc1926_05,éags
Stoc1926_06,11/05/2015,Stoc1926_06,éags
Stoc1926_07,23/06/2015,Stoc1926_07,éags
Stoc1926_08_0_09,11/05/2015,Stoc1926_08_0_09,éags
Stoc1926_10,23/06/2015,Stoc1926_10,éags 
A030,27/07/2015,Obair Níocháin,Hylda M Lancaster
A080,07/07/2015,An Grógánach agus an Peiréad,George Shiels
A233,30/06/2015,Dílse na nGael don Aifreann, aistritheoir
LM123,20/05/2015,Triúr Againn, Siobhán Ní Shúilleabháin 
LU010,06/08/2015,Na Glúnta Rosannacha,Niall Ó Domhnaill 
LU074,20/05/2015,Filí agus Felons, Seosamh Mac Grianna
LU088,08/07/2015,An tAiridheach,Aindrias Ó Baoighill
NL876,30/06/2015,Réidhteach na Ceiste,Pádraig Ó Bróithe
A237, 23/10/2015,Tiomna Nua ár dTighearna agus Ár Slánuigteora,aistritheoir
AM020,23/10/2015,Eachtra Phinocchio,Carlo Callodi
Ban,  21/12/2015,Ban,éags
NL008,23/09/2015,Tosnú na Feallsúnachta,Seoirse Mac Tomáis
NL428,23/09/2015,Beatha Phádraig, Jocelin Manach
NL772,16/10/2015,Deich gCinn D'Oidis Ór-Shúlach,ní fios
A083,  20/01/2016,Feardorcha Truaillidhe, William Carleton
A094,  06/05/2016,Foras Feasa ar Stair na Rómha, H F Pelham
A307   11/04/2016,Am Tarna Philippica,aistritheoir
LA442, 16/09/2016,Muirthéacht na Frainnce,Seosamh Ó Laochdha
LM097, 27/10/2016,Cogarnach ár gCósta,Ger Ó Cíobháin
LU105, 10/11/2016,Allagar na hInise,Tomás Ó Criomhthain
M0224, 31/07/2016,Scéilíní ón mBlascaod & Cín Lae Eibhlín Ní Shúileabháin, Tomás Ó Criomhthain
M038,  16/09/2016,Leabhar Sheáin Í Chonaill,Seán ó Conaill
M223,  31/07/2019,Bloghanna ón mBlascaod,Tomás Ó Criomhthain
NL093, 05/08/2016,Cathair Luimnighe Cuid 1,Gearóid Mac Spealáin
NL180, 23/05/2016,Céimseata Chómhóirnidhtheach,Seoirse Mac Niocaill
NL415, 01/12/2016,Corpeolaíocht agus Sláinteachas,An tSr Gabriel le Muire
NL515, 12/12/2016,An Lann Tolédo,Éamon Ó Faoláin
NL700, 11/04/2016,Stair na Rómha,An tAthair Seán Mac Craith
NL911, 30/11/2016,Éigse Nua-Ghaedhilge,Piaras Béaslaí
A033,06/11/2017,Ceiltigh agus Normannaigh,Gearóid Mac Gearailt
A034,01/08/2019,An Eoraip agus an Domhan 1300-1763 - 1,Mark Tierney
A035,11/09/2017,Éire sa Nua-Aois,Mark Tierney-Mairéad Nic Curtáin       
A036,31/07/2019,An Eoraip agus an Domhan 1763-1960 - 2,David Sturdy
A046,25/08/2017,An tAinmhí ó Lascaux go Picasso,Músaem Náisiúnta na Staire Aiceanta (Páras) 
A051,18/09/2017,Fuinneamh, Alain Grée
A055,14/09/2017,Staidéar ar Fhótagraif Gheografacha,Ernest Armitage
A098,05/09/2017,Féachaimis ar Phictiúir Thíreolaíochta,Liam F Mac Cárthaigh
A099,09/10/2017,Ar Thóir na Tíreolaíochta 2,Patrick Hall
A118,30/08/2017,Tígheas agus Cócaireacht,aistritheoir
A119,28/08/2017,Airciméidéas,Peadar ó Casaide
A122,23/08/2017,An Stair Bheo 1,Tim MacGillicuddy
A125,31/07/2019,Ar Lorg na Staire 1: An Chianaimsir,Seán Ó Cúlacháin
A126,14/11/2017,Ar Lorg na Staire 2: Bunús ár gCultúir,Seán Ó Cúlacháin
A129,19/09/2017,An Stair Bheo 4,Tim McGillicuddy
AU032, 27/04/2017,Mo Chuid-se Príosún,Silvio Pellico
Faninti,01/08/2019,Domhnaill Mac Síthigh
IomBhrn,01/08/2019,Domhnaill Mac Síthigh
LC132,23/08/2017,Scothscéalta,Pádraic Ó Conaire
LM059,10/07/2017,Síol Éabha, Pádraic Ó Conaire
LM145,17/02/2017,An Comharsa Coimhthíoch,An tAthair Pádaig Ó Fiannachta
LM224,26/01/2017,Ó Oileán go Cuilleán,Muiris Uí Shúileabháin
LN928,16/01/2017,Leanbh Deireanach an Bhlascaoid,Gearóid Cheaist Ó Catháin
NL919,02/02/2017,Lá dá bhFaca Thú,Críostóir Ó Floinn
NL920,24/01/2017,An Blascaod a Bhí,Seoirse Mac Tomáis
NL930,25/09/2017,Conor Cruise O'Brien agus an Liobrálachas,Risteárd Glaisne
NL931,25/08/2017,Cosmhuintir,Liam Ó Murchú
súilSeilge,01/08/2019,Súil Seilge,Domhnall Mac Síthigh
A052,09/01/2018,Tíreolaíocht na Meánteistiméireachta,Liam Mac Conmara
NL062,04/01/2018,An tAthair William Bathe,Seán P Ó Mathúna
Comhar1945_06,11/02/2019,Comhar1945_06,éags
NL008,08/03/2018,Tosnú na Fealsúnachta,Seoirse Mac Tomáis
IMN-1929,09/03/2018,IMN-1929,éags
A221,11/04/2016,Scéalta Sealgaire,Túrgénebh - Maighréad Nic Mhaicín
A150,19/04/2018,Longa,Vincent Segrelles
Comhar1948_01a,18/04/2018,Comhar1948_01a,éags
IMN-1930,18/05/2018,IMN-1930,éags
LM111,14/06/2018,Le Gealaigh - giota,Pádraig Ó Cíobháin
comhar-14-1942,20/06/2018,comhar-14-1942,éags
Comhar1942_10,21/06/2018, Comhar1942_10,éags
Comhar1944_04,21/06/2018,Comhar1944_04,éags
Comhar1944_7,26/06/2018,Comhar1944_7,éags
IMN-1931,19/06/2018,IMN-1931,éags
Comhar1944_12-B,18/07/2018,Comhar1944_12-B 
NL981,06/07/2018,Léargas ar Stair na Linne 2,Pádraic Ó Cléirigh
Comhar1945_1a,02/08/2018,Comhar1945_1a,éags               
LU112,01/08/2018,Taibhsí an Chreagáin,Pádraig Mac Suibhne
A060,04/09/2018,Ar Thóir na Tíreolaíochta 1,Patrick Hall
LM155,13/09/2018,Duanaire Déiseach,Nioclás Tóibín
A037,03/10/2018,Concas & Coilíniú,M E Colins                          
A303,25/09/2018,Traidisiún Liteartha na nGael,J E Caerwyn Williams & Máirín Ní Mhuiríosa          
comhar-1945_0,30/10/2018,Seán Ó Baoighill
Comhar1945-08,31/10/2018,T De Bh 
LC022,26/10/2018,Máirtín Ó Direáin:Dánta 1939-1979,Máirtín Ó Direáin
LC053,16/11/2018,Seanchas Thomáis Laighléis,Tomás De Bhaldraithe
comhar1945_10b,06/12/2018,Heinreich Becker  
comhar1946_02, 19/12/2018,An Cianadóir,Tarlach Bhillí
Comhar1945_12,15/01/2019,An Básaire,Tarlach Bhillí
Comhar1946_04b,   11/02/2019,Faoileoga agus Luchóga,Tarlach Bhillí 
Comhar1946_06_02, 06/02/2019,Corca Dhuibhne,Seán a' Chóta      
Comhar1946_07a,   15/02/2019,Turas go Dresden,Caoimhín Ó Danchair 
IMN-1932,28/02/2019,IMN-1932,IMN-1932,éags 
IMN-1934,03/04/2019,IMN-1934,éags
Comhar1948_01a,18/04/2019,Culaith agus Gléas le haghaidh Nollag na mBan
A102,8/07/2019,Rialacha agus Clár do leith Meánscoileanna,An Roinn Oideachais
Comhar1948_03b, 08/05/2019,Aon Ghaidhilig,An tUrramach Calum Mac Gilleathain
Comhar1948_04a, 17/05/2019,Cúrsaí Teangan san Afraic Theas,Seán Breathnach
LU104,03/05/2019,Stairsheanchas Ghaoth Dobhair,Cáit Nic Giolla Bríde
NL870,16/05/2019,Ainmhithe Allta Éireann,Ailbhe Ó Monacháin
NL878,08/05/2019,Adharca Broic,Mícheál Ó hAirtnéide
Comhar1948_06a,27/06/2019, 
NL042,27/06/2019,Eitic,Ceallach Ó Briain          
Comhar1948_07a,24/07/2019,Pictiúirí ba Cheart a bheith Againn,Helen Beaumount
LM056,09/07/2019,Ó Donnabháin Rosa 1,Seán Ó Luing
NL277,30/07/2019,Filí faoi Sceimhle,Seán Ó Tuama
NL413,16/07/2019,Dianmhuilte Dé,Diarmaid Ó Súilleabháin
NL961,04/07/2019,Téid Focal le Gaoith,Proinnsias Mac an Bheatha
LM057,03/09/2019,Ó Donnabháin Rosa 2,Seán Ó Luing
NL710,04/10/2019,An Grá in Amhráin na nDaoine,Seán Ó Tuama
NL951, 20/09/2019,I mBéal Feirste Cois Cuain,Breandán Ó Buachalla


 




